City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
2,Vaini,TO,298.24,few clouds,-21.2,-175.2,Keleti Beach Resort
3,Dalby,AU,291.54,light rain,-27.1833,151.2667,Kobbers Motor Inn Dalby
5,Sri Aman,MY,298.18,moderate rain,1.2376,111.4621,Seri Simanggang Hotel
10,Lompoc,US,291.8,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
12,Atuona,PF,298.38,light rain,-9.8,-139.0333,Villa Enata
14,Bambous Virieux,MU,294.29,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
16,Ranong,TH,298.62,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
18,Ribeira Grande,PT,293.23,broken clouds,38.5167,-28.7,Quinta da Meia Eira
21,Hilo,US,304.42,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
22,Padang,ID,298.03,overcast clouds,-0.9492,100.3543,Mercure Padang
23,Mar Del Plata,AR,291.16,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
25,Ambon,ID,298.23,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
27,Port Elizabeth,ZA,290.98,clear sky,-33.918,25.5701,39 On Nile Guest House
29,Clifton,US,297.29,clear sky,40.8584,-74.1638,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
34,Avarua,CK,298.18,broken clouds,-21.2078,-159.775,Paradise Inn
36,Richards Bay,ZA,290.51,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
37,Alofi,NU,300.09,broken clouds,-19.0595,-169.9187,Taloa Heights
38,Tukrah,LY,296.02,broken clouds,32.5341,20.5791,Lagrota restaurant
39,Puerto Ayora,EC,297.13,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Rikitea,PF,297.08,overcast clouds,-23.1203,-134.9692,People ThankYou
44,Carnarvon,AU,290.19,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
45,Port Macquarie,AU,291.13,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
46,Georgetown,MY,300.31,few clouds,5.4112,100.3354,Cititel Penang
50,Abu Kamal,SY,294.5,clear sky,34.4506,40.9171,محطة التلفاز
51,Sola,VU,302.52,broken clouds,-13.8833,167.55,Leumerus Bungalows
56,Bandarbeyla,SO,298.25,scattered clouds,9.4942,50.8122,JABIR HOTEL
57,Mahebourg,MU,294.31,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
60,Castro,BR,291.08,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
